datetime,in,out
2023-05-21 00:00:06,9012974731,8099005670
2023-05-21 00:05:04,9013294035,8099197285
2023-05-21 00:10:06,9013434837,8099257381
2023-05-21 00:15:04,9013699822,8099468162
2023-05-21 00:20:06,9013854645,8099528867
2023-05-21 00:25:04,9014241270,8099872778
2023-05-21 00:30:05,9014393923,8099953829
2023-05-21 00:35:05,9014644028,8100134362
2023-05-21 00:40:05,9014764936,8100200188
2023-05-21 00:45:04,9014985130,8100363727
2023-05-21 00:50:06,9015137495,8100441786
2023-05-21 00:55:04,9015374382,8100610345
2023-05-21 01:00:06,9015493194,8100690706
2023-05-21 01:05:05,9015818701,8100859449
2023-05-21 01:10:06,9015952169,8100924063
2023-05-21 01:15:04,9016205736,8101106804
2023-05-21 01:20:06,9016346832,8101165371
2023-05-21 01:25:05,9016757593,8101537792
2023-05-21 01:30:06,9016900226,8101601887
2023-05-21 01:35:05,9017162664,8101782660
2023-05-21 01:40:05,9024909962,8107334086
2023-05-21 01:45:04,9025161146,8107512200
2023-05-21 01:50:06,9025288214,8107572360
2023-05-21 01:55:04,9025521118,8107736602
2023-05-21 02:00:05,9025667064,8107819920
2023-05-21 02:05:05,9025967306,8108009708
2023-05-21 02:10:06,9026126280,8108075198
2023-05-21 02:15:05,9026361757,8108263982
2023-05-21 02:20:05,9026505526,8108349174
2023-05-21 02:25:04,9026908381,8108665367
2023-05-21 02:30:06,9027042439,8108743333
2023-05-21 02:35:04,9027286895,8108918648
2023-05-21 02:40:06,9027427484,8108994485
2023-05-21 02:45:05,9027650089,8109162110
2023-05-21 02:50:06,9027776796,8109241994
2023-05-21 02:55:05,9028019074,8109425922
2023-05-21 03:00:05,9028157349,8109490232
2023-05-21 03:05:05,9028428305,8109670400
2023-05-21 03:10:06,9028546935,8109742427
2023-05-21 03:15:05,9028860019,8109943058
2023-05-21 03:20:06,9029015906,8110008961
2023-05-21 03:25:05,9029417529,8110351206
2023-05-21 03:30:05,9029571061,8110418341
2023-05-21 03:35:05,9029794231,8110580425
2023-05-21 03:40:06,9029976676,8110665226
2023-05-21 03:45:05,9030207100,8110834843
2023-05-21 03:50:05,9030349441,8110894007
2023-05-21 03:55:05,9030637425,8111084645
2023-05-21 04:00:05,9030778795,8111148649
2023-05-21 04:05:05,9031033172,8111340274
2023-05-21 04:10:05,9031171240,8111404911
2023-05-21 04:15:04,9031429552,8111623351
2023-05-21 04:20:06,9031625211,8111691489
2023-05-21 04:25:04,9032042557,8112034679
2023-05-21 04:30:06,9032179100,8112159332
2023-05-21 04:35:04,9032435075,8112355279
2023-05-21 04:40:06,9032560084,8112416670
2023-05-21 04:45:04,9032830484,8112604824
2023-05-21 04:50:06,9032958217,8112665249
2023-05-21 04:55:05,9033191109,8112867953
2023-05-21 05:00:05,9033368467,8112934062
2023-05-21 05:05:04,9033613801,8113154654
2023-05-21 05:10:06,9033761961,8113231214
2023-05-21 05:15:05,9034079608,8113414324
2023-05-21 05:20:05,9034201073,8113477256
2023-05-21 05:25:05,9034607987,8113816200
2023-05-21 05:30:06,9034747490,8113880070
2023-05-21 05:35:04,9035042909,8114201890
2023-05-21 05:40:06,9035162685,8114265382
2023-05-21 05:45:04,9035427683,8114460274
2023-05-21 05:50:06,9057595254,8114681440
2023-05-21 05:55:05,9057838857,8114864389
2023-05-21 06:00:06,9057967980,8114928280
2023-05-21 06:05:05,9058235921,8115105612
2023-05-21 06:10:05,9058426292,8115177972
2023-05-21 06:15:05,9058670116,8115354338
2023-05-21 06:20:06,9058810494,8115418609
2023-05-21 06:25:04,9059185978,8115723522
2023-05-21 06:30:06,9059332385,8115803577
2023-05-21 06:35:05,9059564831,8115965432
2023-05-21 06:40:05,9059693126,8116026356
2023-05-21 06:45:05,9059934248,8116206547
2023-05-21 06:50:06,9060074431,8116286250
