datetime,rm,ru,rf,rs,rb,sz,ss,cm
2023-05-10 00:00:02,4046680,367224,3770640,213928,56,4063228,3403416,1283896
2023-05-10 00:05:02,4046680,350080,3753500,213984,56,4063228,3403420,1284392
2023-05-10 00:10:01,4046680,363252,3766672,213928,56,4063228,3403420,1287624
2023-05-10 00:15:02,4046680,354328,3757748,222120,56,4063228,3403420,1296084
2023-05-10 00:20:02,4046680,370588,3774008,205736,56,4063228,3403420,1279996
2023-05-10 00:25:02,4046680,370200,3773624,205736,56,4063228,3403424,1280348
2023-05-10 00:30:02,4046680,369800,3773224,205736,56,4063228,3403424,1280716
2023-05-10 00:35:01,4046680,361324,3764748,213928,56,4063228,3403424,1289248
2023-05-10 00:40:02,4046680,360776,3764200,213928,56,4063228,3403424,1289616
2023-05-10 00:45:02,4046680,360404,3763828,213928,56,4063228,3403424,1290096
2023-05-10 00:50:02,4046680,335388,3738812,222120,56,4063228,3403424,1303996
2023-05-10 00:55:02,4046680,334644,3738068,222120,56,4063228,3403424,1304228
2023-05-10 01:00:01,4046680,351384,3754808,205736,56,4063228,3403424,1288144
2023-05-10 01:05:01,4046680,334120,3737544,205792,56,4063228,3403424,1288560
2023-05-10 01:10:02,4046680,333904,3737328,205820,56,4063228,3403424,1288940
2023-05-10 01:15:02,4046680,339876,3743308,213936,56,4063228,3403432,1300160
2023-05-10 01:20:02,4046680,338240,3741672,213936,56,4063228,3403432,1300520
2023-05-10 01:25:02,4046680,337472,3740904,213936,56,4063228,3403432,1300912
2023-05-10 01:30:01,4046680,329404,3732836,222128,56,4063228,3403432,1309452
2023-05-10 01:35:02,4046680,345444,3748876,205744,56,4063228,3403432,1293432
2023-05-10 01:40:02,4046680,345664,3749096,205744,56,4063228,3403432,1293800
2023-05-10 01:45:02,4046680,345060,3748492,205744,56,4063228,3403432,1294084
2023-05-10 01:50:02,4046680,336604,3740036,213936,56,4063228,3403432,1302636
2023-05-10 01:55:02,4046680,335884,3739316,213936,56,4063228,3403432,1302992
2023-05-10 02:00:02,4046680,327892,3731324,213936,56,4063228,3403432,1303332
2023-05-10 02:05:02,4046680,380636,3781920,228464,56,4063228,3401284,1252808
2023-05-10 02:10:01,4046680,370972,3772256,228464,56,4063228,3401284,1262148
2023-05-10 02:15:01,4046680,370688,3771972,228464,56,4063228,3401284,1262508
2023-05-10 02:20:02,4046680,362272,3763556,236656,56,4063228,3401284,1270924
2023-05-10 02:25:01,4046680,361744,3763028,236656,56,4063228,3401284,1271276
2023-05-10 02:30:02,4046680,361636,3762920,236656,56,4063228,3401284,1271640
2023-05-10 02:35:01,4046680,353452,3754736,244848,56,4063228,3401284,1280184
2023-05-10 02:40:02,4046680,392388,3795588,205800,56,4063228,3403200,1241592
2023-05-10 02:45:01,4046680,391272,3794472,205800,56,4063228,3403200,1241948
2023-05-10 02:50:02,4046680,308096,3711296,205800,56,4063228,3403200,1242896
2023-05-10 02:55:01,4046680,163372,3553008,204172,56,4063228,3389636,1015856
2023-05-10 03:00:02,4046680,159288,3548924,204172,56,4063228,3389636,1019324
2023-05-10 03:05:01,4046680,214496,3598620,207888,56,4063228,3384124,932140
2023-05-10 03:10:02,4046680,208192,3592316,207888,56,4063228,3384124,938556
2023-05-10 03:15:01,4046680,399668,3744260,156628,56,4063228,3344592,630784
2023-05-10 03:20:02,4046680,227804,3572396,156628,56,4063228,3344592,727736
2023-05-10 03:25:02,4046680,229796,3570220,153128,56,4063228,3340424,681788
2023-05-10 03:30:01,4046680,161896,3502320,161320,56,4063228,3340424,691160
2023-05-10 03:35:02,4046680,161232,3501656,161320,56,4063228,3340424,691572
2023-05-10 03:40:02,4046680,160612,3501036,161320,56,4063228,3340424,692412
2023-05-10 03:45:02,4046680,127068,3467492,169512,56,4063228,3340424,710208
2023-05-10 03:50:02,4046680,131992,3483632,164340,56,4063228,3351640,705412
2023-05-10 03:55:02,4046680,131036,3482676,164340,56,4063228,3351640,705780
2023-05-10 04:00:01,4046680,131424,3483064,164340,56,4063228,3351640,706116
2023-05-10 04:05:02,4046680,168104,3499828,160504,52,4063228,3331724,650976
2023-05-10 04:10:02,4046680,381036,3663396,128828,48,4063228,3282360,486204
2023-05-10 04:15:01,4046680,278188,3560560,128828,48,4063228,3282372,589060
2023-05-10 04:20:02,4046680,269508,3551880,137020,48,4063228,3282372,597592
2023-05-10 04:25:01,4046680,260480,3542860,145212,48,4063228,3282380,606476
2023-05-10 04:30:02,4046680,260652,3543032,145212,48,4063228,3282380,606792
2023-05-10 04:35:02,4046680,304088,3586484,145212,48,4063228,3282396,621668
2023-05-10 04:40:01,4046680,293964,3576364,153404,48,4063228,3282400,630432
2023-05-10 04:45:01,4046680,293220,3575628,153404,48,4063228,3282408,630760
2023-05-10 04:50:02,4046680,293236,3575664,153404,48,4063228,3282428,631120
2023-05-10 04:55:02,4046680,284572,3567000,161596,48,4063228,3282428,639848
2023-05-10 05:00:02,4046680,303228,3608916,143888,48,4063228,3305688,622372
2023-05-10 05:05:02,4046680,279696,3585384,143920,48,4063228,3305688,629272
2023-05-10 05:10:02,4046680,380720,3683788,142088,48,4063228,3303068,558528
2023-05-10 05:15:02,4046680,337936,3641004,150280,48,4063228,3303068,601172
2023-05-10 05:20:02,4046680,338276,3641344,150280,48,4063228,3303068,601480
2023-05-10 05:25:02,4046680,337968,3641036,150280,48,4063228,3303068,601824
2023-05-10 05:30:02,4046680,337588,3640660,150280,48,4063228,3303072,602240
2023-05-10 05:35:01,4046680,334572,3648580,153024,48,4063228,3314008,605300
2023-05-10 05:40:02,4046680,332784,3646792,153024,48,4063228,3314008,606676
2023-05-10 05:45:01,4046680,332148,3646156,153024,48,4063228,3314008,607036
2023-05-10 05:50:02,4046680,323216,3637236,161216,48,4063228,3314020,615512
2023-05-10 05:55:01,4046680,322352,3636404,161228,48,4063228,3314052,615920
2023-05-10 06:00:02,4046680,323132,3637184,161228,48,4063228,3314052,616156
2023-05-10 06:05:01,4046680,298696,3612760,161268,48,4063228,3314064,623848
2023-05-10 06:10:01,4046680,289600,3603668,169460,48,4063228,3314068,632472
2023-05-10 06:15:01,4046680,294736,3619876,164148,48,4063228,3325140,627480
2023-05-10 06:20:02,4046680,313960,3636356,163724,48,4063228,3322396,630148
2023-05-10 06:25:02,4046680,313592,3635996,163724,48,4063228,3322404,630524
2023-05-10 06:30:02,4046680,305420,3627824,171916,48,4063228,3322404,638948
2023-05-10 06:35:02,4046680,305160,3627564,171916,48,4063228,3322404,639196
2023-05-10 06:40:02,4046680,401632,3724056,171924,48,4063228,3322424,641004
2023-05-10 06:45:02,4046680,413508,3735932,180116,48,4063228,3322424,651540
2023-05-10 06:50:01,4046680,387416,3720956,174808,48,4063228,3333540,679404
2023-05-10 06:55:01,4046680,387204,3720744,174808,48,4063228,3333540,679752
2023-05-10 07:00:02,4046680,386592,3720132,174808,48,4063228,3333540,680072
2023-05-10 07:05:02,4046680,361464,3695008,183032,48,4063228,3333544,688756
2023-05-10 07:10:01,4046680,359744,3693288,183032,48,4063228,3333544,691084
2023-05-10 07:15:02,4046680,374952,3708496,183000,48,4063228,3333544,691420
2023-05-10 07:20:02,4046680,366892,3700444,191196,48,4063228,3333552,700012
2023-05-10 07:25:02,4046680,371256,3716068,186072,48,4063228,3344812,695220
2023-05-10 07:30:01,4046680,371284,3716104,186072,48,4063228,3344820,695400
2023-05-10 07:35:01,4046680,370952,3715772,186072,48,4063228,3344820,695660
2023-05-10 07:40:02,4046680,362548,3707372,194264,48,4063228,3344824,704344
2023-05-10 07:45:01,4046680,361808,3706640,194264,48,4063228,3344832,704724
2023-05-10 07:50:02,4046680,361300,3706136,194264,48,4063228,3344836,705116
2023-05-10 07:55:02,4046680,352724,3697560,202456,48,4063228,3344836,713492
2023-05-10 08:00:01,4046680,158332,3516364,197244,48,4063228,3358032,821744
2023-05-10 08:05:01,4046680,128136,3486172,197276,48,4063228,3358036,822260
2023-05-10 08:10:02,4046680,381720,3724740,183300,48,4063228,3343020,622132
2023-05-10 08:15:02,4046680,329656,3672788,191492,48,4063228,3343132,738160
2023-05-10 08:20:01,4046680,256816,3601996,191492,48,4063228,3345180,757976
2023-05-10 08:25:01,4046680,199160,3544340,191492,48,4063228,3345180,758388
2023-05-10 08:30:02,4046680,170808,3527248,194588,48,4063228,3356440,763156
2023-05-10 08:35:02,4046680,142784,3376548,87820,44,4063228,3233764,550976
2023-05-10 08:40:01,4046680,319492,3530264,79812,44,4063228,3210772,617568
2023-05-10 08:45:02,4046680,192228,3403480,88476,44,4063228,3211252,674128
2023-05-10 08:50:02,4046680,243168,3455912,88588,44,4063228,3212744,677896
2023-05-10 08:55:01,4046680,144952,3357748,88636,44,4063228,3212796,679512
2023-05-10 09:00:02,4046680,127376,3340256,96912,44,4063228,3212880,688160
2023-05-10 09:05:02,4046680,341752,3470100,87392,44,4063228,3128348,509256
