datetime,rm,ru,rf,rs,rb,sz,ss,cm
2023-05-17 06:25:02,4046680,676184,4239848,213620,44,4063228,3563664,1692224
2023-05-17 06:30:02,4046680,632220,4195884,213564,44,4063228,3563664,1748756
2023-05-17 06:35:02,4046680,632036,4195700,213564,44,4063228,3563664,1748896
2023-05-17 06:40:02,4046680,632068,4195732,213564,44,4063228,3563664,1749024
2023-05-17 06:45:01,4046680,623372,4187036,221756,44,4063228,3563664,1757352
2023-05-17 06:50:02,4046680,623456,4187120,221756,44,4063228,3563664,1757480
2023-05-17 06:55:01,4046680,623264,4186928,221756,44,4063228,3563664,1757628
2023-05-17 07:00:02,4046680,622892,4186556,221756,44,4063228,3563664,1757752
2023-05-17 07:05:01,4046680,606536,4170200,221812,44,4063228,3563664,1757952
2023-05-17 07:10:02,4046680,622724,4186388,205428,44,4063228,3563664,1741796
2023-05-17 07:15:01,4046680,636160,4199824,205372,44,4063228,3563664,1744672
2023-05-17 07:20:02,4046680,636188,4199852,205372,44,4063228,3563664,1744796
2023-05-17 07:25:02,4046680,635588,4199252,205372,44,4063228,3563664,1744944
2023-05-17 07:30:01,4046680,635640,4199304,205372,44,4063228,3563664,1745064
2023-05-17 07:35:02,4046680,635572,4199236,205372,44,4063228,3563664,1745216
2023-05-17 07:40:02,4046680,635640,4199304,205372,44,4063228,3563664,1745336
2023-05-17 07:45:01,4046680,635572,4199236,205372,44,4063228,3563664,1745472
2023-05-17 07:50:02,4046680,626768,4190432,213564,44,4063228,3563664,1753792
2023-05-17 07:55:01,4046680,626712,4190376,213564,44,4063228,3563664,1753920
2023-05-17 08:00:02,4046680,626644,4190308,213564,44,4063228,3563664,1754048
2023-05-17 08:05:02,4046680,610428,4174092,213620,44,4063228,3563664,1754240
2023-05-17 08:10:01,4046680,622992,4186656,213564,44,4063228,3563664,1757704
2023-05-17 08:15:02,4046680,624340,4188004,213564,44,4063228,3563664,1757892
2023-05-17 08:20:01,4046680,624412,4188076,213564,44,4063228,3563664,1758084
2023-05-17 08:25:02,4046680,717196,4280860,213564,44,4063228,3563664,1758304
2023-05-17 08:30:01,4046680,727468,4291132,221756,44,4063228,3563664,1766664
2023-05-17 08:35:02,4046680,713876,4277540,221756,44,4063228,3563664,1766808
2023-05-17 08:40:01,4046680,714064,4277728,221756,44,4063228,3563664,1766936
2023-05-17 08:45:01,4046680,713368,4277032,221756,44,4063228,3563664,1767068
2023-05-17 08:50:02,4046680,704376,4268040,229948,44,4063228,3563664,1775400
2023-05-17 08:55:02,4046680,704236,4267900,229948,44,4063228,3563664,1775548
2023-05-17 09:00:02,4046680,703632,4267296,229948,44,4063228,3563664,1775688
2023-05-17 09:05:02,4046680,687276,4250940,230004,44,4063228,3563664,1775900
2023-05-17 09:10:01,4046680,687028,4250692,230004,44,4063228,3563664,1776128
2023-05-17 09:15:02,4046680,699508,4263172,229948,44,4063228,3563664,1779608
2023-05-17 09:20:01,4046680,696684,4260348,229972,44,4063228,3563664,1779796
2023-05-17 09:25:02,4046680,683720,4247384,229948,44,4063228,3563664,1779944
2023-05-17 09:30:02,4046680,675980,4239644,238140,44,4063228,3563664,1788284
2023-05-17 09:35:01,4046680,674880,4238544,238140,44,4063228,3563664,1788416
2023-05-17 09:40:02,4046680,590684,4154348,238168,44,4063228,3563664,1788592
2023-05-17 09:45:02,4046680,549624,4113288,238140,44,4063228,3563664,1788760
2023-05-17 09:50:02,4046680,533564,4097228,238140,44,4063228,3563664,1788912
2023-05-17 09:55:01,4046680,524644,4088308,238140,44,4063228,3563664,1789056
2023-05-17 10:00:02,4046680,524196,4087860,238196,44,4063228,3563664,1789240
2023-05-17 10:05:02,4046680,499672,4063336,246388,44,4063228,3563664,1797888
2023-05-17 10:10:02,4046680,523832,4087496,246388,44,4063228,3563664,1798128
2023-05-17 10:15:02,4046680,512724,4076392,246332,44,4063228,3563668,1800972
2023-05-17 10:20:02,4046680,599392,4163060,205372,44,4063228,3563668,1760228
2023-05-17 10:25:01,4046680,547048,4110716,205372,44,4063228,3563668,1760396
2023-05-17 10:30:02,4046680,546872,4110540,205372,44,4063228,3563668,1760536
2023-05-17 10:35:01,4046680,546676,4110344,205372,44,4063228,3563668,1760696
2023-05-17 10:40:02,4046680,508520,4072188,205372,44,4063228,3563668,1760900
2023-05-17 10:45:01,4046680,493892,4057560,205372,44,4063228,3563668,1761056
2023-05-17 10:50:02,4046680,497356,4061024,205372,44,4063228,3563668,1761848
2023-05-17 10:55:02,4046680,495040,4058708,205372,44,4063228,3563668,1762036
2023-05-17 11:00:02,4046680,432684,3996352,213564,44,4063228,3563668,1770380
2023-05-17 11:05:02,4046680,454356,4018024,213620,44,4063228,3563668,1770600
2023-05-17 11:10:01,4046680,645844,4209512,213564,44,4063228,3563668,1773888
2023-05-17 11:15:01,4046680,695132,4258800,213564,44,4063228,3563668,1774120
2023-05-17 11:20:02,4046680,643080,4206748,213564,44,4063228,3563668,1774432
2023-05-17 11:25:02,4046680,612396,4176064,213564,44,4063228,3563668,1774576
2023-05-17 11:30:01,4046680,603364,4167032,213564,44,4063228,3563668,1774736
2023-05-17 11:35:02,4046680,587672,4151340,213564,44,4063228,3563668,1774932
2023-05-17 11:40:01,4046680,553508,4117176,221756,44,4063228,3563668,1787864
2023-05-17 11:45:02,4046680,552020,4115688,221756,44,4063228,3563668,1788056
2023-05-17 11:50:02,4046680,551896,4115564,221756,44,4063228,3563668,1788192
2023-05-17 11:55:02,4046680,528644,4092316,221756,44,4063228,3563672,1788368
2023-05-17 12:00:02,4046680,662624,4226296,205372,44,4063228,3563672,1772224
2023-05-17 12:05:02,4046680,644920,4208592,205428,44,4063228,3563672,1772448
2023-05-17 12:10:01,4046680,546200,4109872,205372,44,4063228,3563672,1776096
2023-05-17 12:15:01,4046680,530808,4094480,205372,44,4063228,3563672,1776264
2023-05-17 12:20:02,4046680,529816,4093488,205372,44,4063228,3563672,1776456
2023-05-17 12:25:02,4046680,482836,4046508,205372,44,4063228,3563672,1776644
2023-05-17 12:30:01,4046680,427896,3991568,213564,44,4063228,3563672,1784984
2023-05-17 12:35:01,4046680,411644,3975316,213564,44,4063228,3563672,1785128
2023-05-17 12:40:02,4046680,411532,3975204,213564,44,4063228,3563672,1785256
2023-05-17 12:45:02,4046680,403708,3967384,213564,44,4063228,3563676,1785404
2023-05-17 12:50:01,4046680,392936,3956612,213564,44,4063228,3563676,1785532
2023-05-17 12:55:02,4046680,389572,3953248,213564,44,4063228,3563676,1785676
2023-05-17 13:00:02,4046680,388332,3952008,213564,44,4063228,3563676,1785820
2023-05-17 13:05:01,4046680,385440,3949116,213564,44,4063228,3563676,1788328
2023-05-17 13:10:02,4046680,377572,3941248,213564,44,4063228,3563676,1788568
2023-05-17 13:15:02,4046680,363656,3927332,221756,44,4063228,3563676,1796924
2023-05-17 13:20:01,4046680,376372,3940048,221756,44,4063228,3563676,1797056
2023-05-17 13:25:02,4046680,377312,3940988,221756,44,4063228,3563676,1797216
2023-05-17 13:30:01,4046680,377160,3940836,221756,44,4063228,3563676,1797352
2023-05-17 13:35:01,4046680,391664,3955340,205372,44,4063228,3563676,1781128
2023-05-17 13:40:02,4046680,438720,4002396,205372,44,4063228,3563676,1781324
2023-05-17 13:45:01,4046680,410968,3974644,205372,44,4063228,3563676,1781480
2023-05-17 13:50:02,4046680,399772,3963448,205372,44,4063228,3563676,1781620
2023-05-17 13:55:01,4046680,391960,3955636,205372,44,4063228,3563676,1781768
2023-05-17 14:00:02,4046680,391840,3955516,205372,44,4063228,3563676,1781904
2023-05-17 14:05:02,4046680,393476,3957152,205428,44,4063228,3563676,1782124
2023-05-17 14:10:02,4046680,397244,3960920,213564,44,4063228,3563676,1793400
2023-05-17 14:15:02,4046680,397344,3961020,213564,44,4063228,3563676,1793532
2023-05-17 14:20:02,4046680,397772,3961448,213564,44,4063228,3563676,1793680
2023-05-17 14:25:02,4046680,397260,3960936,213564,44,4063228,3563676,1793816
2023-05-17 14:30:02,4046680,397772,3961448,213564,44,4063228,3563676,1793984
2023-05-17 14:35:01,4046680,396904,3960580,213564,44,4063228,3563676,1794120
2023-05-17 14:40:02,4046680,397144,3960820,213564,44,4063228,3563676,1794256
2023-05-17 14:45:02,4046680,396584,3960260,213564,44,4063228,3563676,1794392
2023-05-17 14:50:01,4046680,397044,3960720,213564,44,4063228,3563676,1794544
2023-05-17 14:55:02,4046680,388596,3952272,221756,44,4063228,3563676,1802876
2023-05-17 15:00:01,4046680,389092,3952768,221756,44,4063228,3563676,1803040
2023-05-17 15:05:02,4046680,384380,3948056,221756,44,4063228,3563676,1806440
2023-05-17 15:10:01,4046680,373792,3937468,229948,44,4063228,3563676,1814868
2023-05-17 15:15:02,4046680,366020,3929696,229948,44,4063228,3563676,1816136
2023-05-17 15:20:01,4046680,366128,3929804,229948,44,4063228,3563676,1816296
2023-05-17 15:25:01,4046680,372592,3936268,229948,44,4063228,3563676,1816516
2023-05-17 15:30:02,4046680,367204,3930880,229948,44,4063228,3563676,1816744
2023-05-17 15:35:02,4046680,365896,3929572,229948,44,4063228,3563676,1816912
2023-05-17 15:40:02,4046680,358132,3921808,238196,44,4063228,3563676,1825312
2023-05-17 15:45:01,4046680,358100,3921776,238140,44,4063228,3563676,1825408
2023-05-17 15:50:02,4046680,358536,3922212,238140,44,4063228,3563676,1825516
2023-05-17 15:55:02,4046680,356100,3919776,238140,44,4063228,3563676,1825660
2023-05-17 16:00:02,4046680,280204,3843880,238140,44,4063228,3563676,1825776
2023-05-17 16:05:01,4046680,263624,3827300,238196,44,4063228,3563676,1825980
