datetime,rm,ru,rf,rs,rb,sz,ss,cm
2023-05-14 00:00:02,4046680,777020,4144112,229940,44,4063228,3367092,1663412
2023-05-14 00:05:02,4046680,760400,4127492,229996,44,4063228,3367092,1663952
2023-05-14 00:10:02,4046680,780840,4147940,229940,44,4063228,3367100,1673824
2023-05-14 00:15:02,4046680,770456,4138100,238132,44,4063228,3367644,1685032
2023-05-14 00:20:01,4046680,770084,4137728,238132,44,4063228,3367644,1685400
2023-05-14 00:25:02,4046680,767728,4135372,238132,44,4063228,3367644,1685768
2023-05-14 00:30:02,4046680,757536,4125180,246324,44,4063228,3367644,1694288
2023-05-14 00:35:01,4046680,797812,4165456,205364,44,4063228,3367644,1653688
2023-05-14 00:40:02,4046680,798248,4165892,205364,44,4063228,3367644,1653956
2023-05-14 00:45:01,4046680,797628,4165272,205364,44,4063228,3367644,1654256
2023-05-14 00:50:02,4046680,789592,4157236,213556,44,4063228,3367644,1662752
2023-05-14 00:55:02,4046680,788808,4156452,213556,44,4063228,3367644,1663276
2023-05-14 01:00:01,4046680,788452,4156096,213556,44,4063228,3367644,1663576
2023-05-14 01:05:01,4046680,776932,4144576,221748,44,4063228,3367644,1675084
2023-05-14 01:10:02,4046680,777168,4144812,221748,44,4063228,3367644,1675300
2023-05-14 01:15:02,4046680,792808,4160452,205364,44,4063228,3367644,1659252
2023-05-14 01:20:01,4046680,793272,4160916,205364,44,4063228,3367644,1659604
2023-05-14 01:25:01,4046680,791644,4159288,205364,44,4063228,3367644,1659936
2023-05-14 01:30:02,4046680,783368,4151012,213556,44,4063228,3367644,1668456
2023-05-14 01:35:02,4046680,782980,4150624,213556,44,4063228,3367644,1668828
2023-05-14 01:40:02,4046680,782972,4150616,213556,44,4063228,3367644,1669176
2023-05-14 01:45:02,4046680,774292,4141936,221748,44,4063228,3367644,1677700
2023-05-14 01:50:01,4046680,791068,4158712,205364,44,4063228,3367644,1661652
2023-05-14 01:55:01,4046680,789932,4157576,205364,44,4063228,3367644,1662036
2023-05-14 02:00:02,4046680,789436,4157080,205364,44,4063228,3367644,1662360
2023-05-14 02:05:02,4046680,764540,4132184,213612,44,4063228,3367644,1670956
2023-05-14 02:10:02,4046680,778400,4146044,213556,44,4063228,3367644,1673872
2023-05-14 02:15:01,4046680,777600,4145244,213556,44,4063228,3367644,1674096
2023-05-14 02:20:02,4046680,769168,4136812,213556,44,4063228,3367644,1674456
2023-05-14 02:25:02,4046680,761056,4128700,221748,44,4063228,3367644,1682972
2023-05-14 02:30:01,4046680,777204,4144848,205364,44,4063228,3367644,1666908
2023-05-14 02:35:01,4046680,776192,4143836,205364,44,4063228,3367644,1667132
2023-05-14 02:40:02,4046680,776616,4144260,205364,44,4063228,3367644,1667380
2023-05-14 02:45:01,4046680,775180,4142824,205364,44,4063228,3367644,1667716
2023-05-14 02:50:02,4046680,767484,4135128,213560,44,4063228,3367644,1676260
2023-05-14 02:55:02,4046680,766076,4133720,213556,44,4063228,3367644,1676612
2023-05-14 03:00:02,4046680,766668,4134312,213556,44,4063228,3367644,1676952
2023-05-14 03:05:01,4046680,741196,4108840,221804,44,4063228,3367644,1685552
2023-05-14 03:10:02,4046680,757536,4125180,205420,44,4063228,3367644,1669496
2023-05-14 03:15:02,4046680,769704,4137348,205420,44,4063228,3367644,1673044
2023-05-14 03:20:01,4046680,769084,4136728,205420,44,4063228,3367644,1673400
2023-05-14 03:25:01,4046680,745924,4113568,213612,44,4063228,3367644,1681956
2023-05-14 03:30:02,4046680,878160,4246088,213492,44,4063228,3367928,1695752
2023-05-14 03:35:02,4046680,877480,4245408,213492,44,4063228,3367928,1696044
2023-05-14 03:40:02,4046680,877360,4245288,213492,44,4063228,3367928,1696240
2023-05-14 03:45:02,4046680,868884,4236812,221684,44,4063228,3367928,1704724
2023-05-14 03:50:01,4046680,884364,4252292,205300,44,4063228,3367928,1688660
2023-05-14 03:55:02,4046680,884488,4252416,205300,44,4063228,3367928,1689116
2023-05-14 04:00:02,4046680,884512,4252440,205356,44,4063228,3367928,1689348
2023-05-14 04:05:01,4046680,867496,4235424,205356,44,4063228,3367928,1689580
2023-05-14 04:10:02,4046680,859892,4227820,213548,44,4063228,3367928,1698036
2023-05-14 04:15:01,4046680,870744,4238672,213492,44,4063228,3367928,1701216
2023-05-14 04:20:02,4046680,869676,4237604,213492,44,4063228,3367928,1701520
2023-05-14 04:25:02,4046680,861352,4229280,221684,44,4063228,3367928,1710144
2023-05-14 04:30:01,4046680,878892,4246820,205300,44,4063228,3367928,1694112
2023-05-14 04:35:02,4046680,878520,4246448,205300,44,4063228,3367928,1694460
2023-05-14 04:40:01,4046680,878024,4245952,205300,44,4063228,3367928,1694796
2023-05-14 04:45:02,4046680,870048,4237976,213492,44,4063228,3367928,1703360
2023-05-14 04:50:01,4046680,868932,4236860,213496,44,4063228,3367928,1703740
2023-05-14 04:55:02,4046680,868460,4236388,213496,44,4063228,3367928,1704160
2023-05-14 05:00:02,4046680,859412,4227340,221688,44,4063228,3367928,1712700
2023-05-14 05:05:02,4046680,860288,4228216,205360,44,4063228,3367928,1696664
2023-05-14 05:10:01,4046680,860288,4228216,205360,44,4063228,3367928,1696888
2023-05-14 05:15:01,4046680,872552,4240480,205304,44,4063228,3367928,1699924
2023-05-14 05:20:02,4046680,864196,4232124,213496,44,4063228,3367928,1708448
2023-05-14 05:25:02,4046680,863948,4231876,213496,44,4063228,3367928,1708812
2023-05-14 05:30:01,4046680,864196,4232124,213496,44,4063228,3367928,1708956
2023-05-14 05:35:01,4046680,862816,4230744,213496,44,4063228,3367928,1709296
2023-05-14 05:40:02,4046680,854592,4222520,221692,44,4063228,3367928,1717808
2023-05-14 05:45:01,4046680,573840,3941768,229884,44,4063228,3367928,1726344
2023-05-14 05:50:02,4046680,574156,3942084,229884,44,4063228,3367928,1726668
2023-05-14 05:55:01,4046680,573204,3941132,229884,44,4063228,3367928,1727132
2023-05-14 06:00:02,4046680,565036,3932964,238076,44,4063228,3367928,1735676
2023-05-14 06:05:01,4046680,560812,3928740,238076,44,4063228,3367928,1738744
2023-05-14 06:10:02,4046680,561104,3929032,238076,44,4063228,3367928,1739088
