datetime,1m,5m,15m,put,rut,pst,rst,pit,rit,rnt
2023-05-08 00:00:02,0.01,0.02,0.05,0,4869754,0,2683218,99,1059387554,66890
2023-05-08 00:05:02,0.00,0.01,0.05,0,4870306,0,2683632,99,1059476252,66890
2023-05-08 00:10:02,0.01,0.02,0.05,0,4870675,0,2683972,99,1059565208,66890
2023-05-08 00:15:02,0.03,0.04,0.05,0,4871022,0,2684293,99,1059654200,66890
2023-05-08 00:20:02,0.38,0.13,0.08,0,4871367,0,2684645,99,1059743167,66890
2023-05-08 00:25:02,0.02,0.07,0.06,0,4871742,0,2685007,99,1059830652,66890
2023-05-08 00:30:02,0.05,0.05,0.05,0,4872155,0,2685461,99,1059919379,66890
2023-05-08 00:35:01,0.00,0.02,0.05,0,4872517,0,2685809,99,1060008340,66890
2023-05-08 00:40:01,0.00,0.01,0.05,0,4872890,0,2686146,98,1060097309,66890
2023-05-08 00:45:01,0.00,0.01,0.05,0,4873260,0,2686492,98,1060186287,66890
2023-05-08 00:50:02,0.07,0.03,0.05,0,4873602,0,2686795,99,1060275340,66890
2023-05-08 00:55:02,0.02,0.02,0.05,0,4873920,0,2687067,99,1060364473,66890
2023-05-08 01:00:02,0.01,0.03,0.05,0,4874259,0,2687374,99,1060453512,66890
2023-05-08 01:05:01,0.00,0.01,0.05,0,4874644,0,2687735,99,1060542455,66890
2023-05-08 01:10:02,0.00,0.01,0.05,0,4875174,0,2688111,99,1060631209,66890
2023-05-08 01:15:02,0.00,0.01,0.05,0,4875526,0,2688454,99,1060720196,66890
2023-05-08 01:20:02,0.00,0.01,0.05,0,4875897,0,2688797,99,1060809152,66890
2023-05-08 01:25:01,0.01,0.06,0.06,0,4876260,0,2689153,99,1060898103,66890
2023-05-08 01:30:02,0.03,0.04,0.05,0,4876645,0,2689529,99,1060986955,66890
2023-05-08 01:35:02,0.02,0.04,0.05,0,4877007,0,2689892,99,1061075906,66890
2023-05-08 01:40:02,0.00,0.01,0.05,0,4877371,0,2690243,99,1061164858,66890
2023-05-08 01:45:01,0.01,0.02,0.05,0,4877726,0,2690601,99,1061253807,66890
2023-05-08 01:50:01,0.04,0.04,0.05,0,4878083,0,2690959,99,1061342753,66890
2023-05-08 01:55:02,0.02,0.02,0.05,0,4878463,0,2691314,99,1061431713,66890
2023-05-08 02:00:02,0.00,0.01,0.05,0,4878825,0,2691655,99,1061520695,66890
2023-05-08 02:05:02,0.01,0.03,0.05,0,4879210,0,2692039,98,1061609590,66890
2023-05-08 02:10:01,0.00,0.01,0.05,0,4879573,0,2692406,98,1061698530,66890
2023-05-08 02:15:01,0.00,0.03,0.05,0,4880057,0,2692770,98,1061787350,66890
2023-05-08 02:20:02,0.02,0.03,0.05,0,4880355,0,2693042,99,1061876470,66890
2023-05-08 02:25:02,0.03,0.03,0.05,0,4880691,0,2693368,99,1061965477,66890
2023-05-08 02:30:01,0.01,0.03,0.05,0,4881120,0,2693801,99,1062054215,66890
2023-05-08 02:35:02,0.00,0.02,0.05,0,4881478,0,2694146,99,1062143188,66890
2023-05-08 02:40:02,0.00,0.01,0.05,0,4881835,0,2694494,99,1062232150,66890
2023-05-08 02:45:02,0.00,0.01,0.05,0,4882197,0,2694841,99,1062321093,66890
2023-05-08 02:50:01,0.04,0.04,0.05,0,4882563,0,2695194,99,1062410040,66890
2023-05-08 02:55:01,0.01,0.03,0.05,0,4882955,0,2695575,99,1062498926,66890
2023-05-08 03:00:02,0.02,0.02,0.05,0,4883336,0,2695929,99,1062587856,66890
2023-05-08 03:05:02,0.00,0.01,0.05,0,4883890,0,2696352,99,1062676537,66890
2023-05-08 03:10:02,0.03,0.03,0.05,0,4884253,0,2696704,99,1062765485,66890
2023-05-08 03:15:01,0.03,0.02,0.05,0,4884603,0,2697049,99,1062854456,66890
2023-05-08 03:20:01,0.03,0.03,0.05,0,4884966,0,2697372,99,1062943435,66890
2023-05-08 03:25:02,0.00,0.01,0.05,0,4885318,0,2697696,99,1063032421,66890
2023-05-08 03:30:02,0.08,0.03,0.05,0,4885748,0,2698116,98,1063121168,66891
2023-05-08 03:35:02,0.00,0.01,0.05,0,4886111,0,2698466,98,1063210140,66891
2023-05-08 03:40:02,0.00,0.01,0.05,0,4886459,0,2698795,98,1063299152,66891
2023-05-08 03:45:01,0.04,0.03,0.05,0,4886750,0,2699054,99,1063388301,66901
2023-05-08 03:50:01,0.07,0.04,0.05,0,4887080,0,2699474,99,1063476801,67302
2023-05-08 03:55:01,0.03,0.03,0.05,0,4887446,0,2699811,99,1063565784,67302
2023-05-08 04:00:01,0.00,0.02,0.05,0,4887797,0,2700149,99,1063654768,67302
2023-05-08 04:05:01,0.00,0.02,0.05,0,4888182,0,2700509,99,1063743692,67302
2023-05-08 04:10:01,0.01,0.02,0.05,0,4888535,0,2700849,99,1063832664,67302
2023-05-08 04:15:01,0.00,0.01,0.05,0,4889052,0,2701228,99,1063921442,67302
2023-05-08 04:20:02,0.00,0.01,0.05,0,4889418,0,2701594,99,1064010387,67302
2023-05-08 04:25:02,0.00,0.01,0.05,0,4889787,0,2701940,99,1064099343,67302
2023-05-08 04:30:02,0.00,0.01,0.05,0,4890160,0,2702319,99,1064188212,67302
2023-05-08 04:35:02,0.00,0.01,0.05,0,4890530,0,2702677,99,1064277143,67302
2023-05-08 04:40:02,0.00,0.01,0.05,0,4890881,0,2703031,99,1064366109,67302
2023-05-08 04:45:02,0.02,0.04,0.05,0,4891244,0,2703394,99,1064455053,67302
2023-05-08 04:50:02,0.00,0.01,0.05,0,4891610,0,2703736,99,1064544018,67302
2023-05-08 04:55:02,0.00,0.01,0.05,0,4891961,0,2704076,98,1064632989,67302
2023-05-08 05:00:02,0.09,0.04,0.06,0,4892322,0,2704449,98,1064721932,67302
2023-05-08 05:05:02,0.00,0.03,0.05,0,4893113,0,2704890,98,1064810351,67302
2023-05-08 05:10:02,0.00,0.01,0.05,0,4893413,0,2705134,99,1064899516,67302
2023-05-08 05:15:01,0.00,0.01,0.05,0,4893755,0,2705449,99,1064988545,67302
2023-05-08 05:20:01,0.00,0.01,0.05,0,4894126,0,2705799,99,1065077499,67302
2023-05-08 05:25:01,0.00,0.01,0.05,0,4894468,0,2706141,99,1065166471,67302
2023-05-08 05:30:02,0.00,0.01,0.05,0,4894886,0,2706551,99,1065255265,67302
2023-05-08 05:35:02,0.00,0.01,0.05,0,4895238,0,2706889,99,1065344247,67302
2023-05-08 05:40:02,0.01,0.03,0.05,0,4895600,0,2707228,99,1065433210,67302
2023-05-08 05:45:02,0.01,0.02,0.05,0,4895973,0,2707587,99,1065522150,67302
2023-05-08 05:50:02,0.00,0.01,0.05,0,4896348,0,2707950,99,1065611093,67302
2023-05-08 05:55:01,0.00,0.01,0.05,0,4896702,0,2708304,99,1065700025,67302
2023-05-08 06:00:02,0.01,0.03,0.05,0,4897066,0,2708641,99,1065789005,67302
2023-05-08 06:05:02,0.00,0.03,0.05,0,4897433,0,2709006,99,1065877943,67303
2023-05-08 06:10:01,0.16,0.06,0.06,0,4897950,0,2709405,99,1065966655,67303
2023-05-08 06:15:01,0.02,0.04,0.05,0,4898305,0,2709761,99,1066054147,67303
2023-05-08 06:20:02,0.00,0.01,0.05,0,4898671,0,2710115,98,1066144596,67303
2023-05-08 06:25:02,0.11,0.06,0.06,0,4899016,0,2710444,98,1066233598,67303
2023-05-08 06:30:02,0.07,0.05,0.05,0,4899421,0,2710814,98,1066320990,67303
2023-05-08 06:35:01,0.01,0.04,0.05,1,4900520,0,2711108,98,1066409289,67303
2023-05-08 06:40:01,0.01,0.03,0.05,0,4901376,0,2711444,99,1066497757,67303
2023-05-08 06:45:02,0.05,0.07,0.06,0,4902952,0,2711869,99,1066586869,67303
2023-05-08 06:50:02,0.00,0.03,0.05,0,4903334,0,2712211,99,1066675772,67303
2023-05-08 06:55:02,0.00,0.01,0.05,0,4903707,0,2712563,99,1066763243,67303
2023-05-08 07:00:02,0.09,0.06,0.05,0,4904057,0,2712918,99,1066852200,67303
2023-05-08 07:05:02,0.00,0.04,0.05,0,4904757,0,2713293,99,1066940757,67303
2023-05-08 07:10:01,0.07,0.05,0.05,0,4905123,0,2713654,99,1067029712,67303
2023-05-08 07:15:01,0.05,0.04,0.05,0,4905473,0,2714006,99,1067118673,67303
2023-05-08 07:20:01,0.03,0.02,0.05,0,4905969,0,2714414,99,1067207403,67303
2023-05-08 07:25:02,0.00,0.01,0.05,0,4906321,0,2714773,99,1067296358,67303
2023-05-08 07:30:02,0.00,0.01,0.05,0,4906706,0,2715174,99,1067385179,67303
2023-05-08 07:35:02,0.00,0.01,0.05,0,4907071,0,2715526,99,1067474121,67303
2023-05-08 07:40:01,0.00,0.03,0.05,0,4907608,0,2715869,99,1067562915,67303
2023-05-08 07:45:01,0.00,0.01,0.05,0,4908019,0,2716226,98,1067651825,67303
2023-05-08 07:50:02,0.02,0.05,0.05,0,4908693,0,2716577,98,1067740462,67303
2023-05-08 07:55:02,0.00,0.03,0.05,0,4909354,0,2716930,99,1067829118,67303
2023-05-08 08:00:02,0.05,0.04,0.05,1,4910357,0,2717294,97,1067917299,67303
2023-05-08 08:05:02,0.00,0.01,0.05,1,4911082,0,2717673,98,1068005780,67303
2023-05-08 08:10:02,0.01,0.04,0.05,0,4911443,0,2718036,99,1068094700,67303
2023-05-08 08:15:01,0.04,0.03,0.05,0,4911803,0,2718378,99,1068183672,67303
2023-05-08 08:20:01,0.01,0.02,0.05,0,4912193,0,2718737,99,1068272557,67303
2023-05-08 08:25:01,0.06,0.03,0.05,0,4912572,0,2719100,99,1068361448,67303
2023-05-08 08:30:02,0.06,0.03,0.05,0,4913517,0,2719573,98,1068449490,67303
2023-05-08 08:35:02,0.02,0.02,0.05,0,4914193,0,2719963,99,1068538038,67303
2023-05-08 08:40:01,0.04,0.03,0.05,2,4914896,0,2720373,97,1068626557,67303
2023-05-08 08:45:01,0.00,0.01,0.05,0,4915290,0,2720778,99,1068715388,67303
2023-05-08 08:50:02,0.01,0.03,0.05,0,4915722,0,2721201,99,1068804148,67303
2023-05-08 08:55:02,0.00,0.01,0.05,0,4916348,0,2721586,99,1068892767,67303
2023-05-08 09:00:02,0.02,0.03,0.05,0,4916720,0,2721929,99,1068981711,67303
2023-05-08 09:05:02,0.00,0.02,0.05,0,4917115,0,2722300,99,1069070596,67303
2023-05-08 09:10:02,0.01,0.02,0.05,0,4917490,0,2722664,98,1069159507,67303
2023-05-08 09:15:02,0.12,0.04,0.05,0,4918016,0,2723082,98,1069248216,67303
2023-05-08 09:20:01,0.01,0.04,0.05,0,4918367,0,2723408,98,1069337199,67303
2023-05-08 09:25:01,0.00,0.04,0.05,0,4918727,0,2723690,99,1069426255,67303
2023-05-08 09:30:02,0.04,0.06,0.05,0,4919208,0,2724115,99,1069514936,67303
2023-05-08 09:35:02,0.01,0.05,0.05,0,4919675,0,2724491,99,1069603725,67303
2023-05-08 09:40:02,0.15,0.06,0.06,2,4920431,0,2724884,96,1069692196,67303
2023-05-08 09:45:02,0.00,0.02,0.05,0,4920983,0,2725323,98,1069780752,67303
2023-05-08 09:50:01,0.04,0.03,0.05,1,4922489,0,2725863,98,1069868256,67303
2023-05-08 09:55:01,0.01,0.04,0.05,0,4924054,0,2726413,99,1069955744,67303
2023-05-08 10:00:01,0.08,0.04,0.05,0,4924418,0,2726757,99,1070044701,67303
2023-05-08 10:05:01,0.01,0.02,0.05,0,4924811,0,2727132,99,1070133595,67304
2023-05-08 10:10:02,0.08,0.03,0.05,1,4925452,0,2727528,98,1070222181,67304
2023-05-08 10:15:02,0.25,0.08,0.07,1,4926139,0,2727959,98,1070310685,67304
2023-05-08 10:20:02,0.03,0.05,0.05,0,4927077,0,2728407,98,1070398859,67304
2023-05-08 10:25:02,0.07,0.05,0.05,0,4927647,0,2728783,99,1070487530,67304
2023-05-08 10:30:01,0.00,0.02,0.05,0,4928064,0,2729200,99,1070576279,67304
2023-05-08 10:35:01,0.09,0.04,0.05,0,4928455,0,2729578,98,1070665103,67304
2023-05-08 10:40:01,0.00,0.01,0.05,0,4928840,0,2729950,98,1070753974,67304
2023-05-08 10:45:01,0.00,0.01,0.05,0,4929290,0,2730360,98,1070842745,67304
2023-05-08 10:50:02,0.00,0.01,0.05,0,4929759,0,2730740,98,1070931541,67304
2023-05-08 10:55:02,0.03,0.03,0.05,0,4930264,0,2731294,98,1071020027,67304
2023-05-08 11:00:01,0.02,0.03,0.05,0,4930813,0,2731874,99,1071108416,67304
2023-05-08 11:05:01,0.05,0.06,0.05,3,4932174,0,2732422,96,1071196077,67304
2023-05-08 11:10:02,0.00,0.03,0.05,0,4932872,0,2732851,99,1071284553,67304
2023-05-08 11:15:02,0.15,0.07,0.06,0,4933513,0,2733409,98,1071372891,67304
2023-05-08 11:20:02,0.01,0.06,0.05,0,4934165,0,2734061,99,1071461080,67304
2023-05-08 11:25:01,0.00,0.02,0.05,0,4934721,0,2734668,98,1071549417,67304
2023-05-08 11:30:01,0.17,0.08,0.06,0,4935433,0,2735308,99,1071636076,67304
2023-05-08 11:35:01,0.01,0.05,0.05,0,4936171,0,2736092,98,1071723924,67304
2023-05-08 11:40:01,0.05,0.09,0.06,0,4937199,0,2736835,99,1071811550,67304
2023-05-08 11:45:02,0.00,0.03,0.05,0,4937604,0,2737223,99,1071901830,67304
2023-05-08 11:50:02,0.02,0.04,0.05,0,4937968,0,2737591,99,1071990730,67304
2023-05-08 11:55:02,0.00,0.01,0.05,0,4938705,0,2738480,99,1072076975,67304
2023-05-08 12:00:02,0.00,0.02,0.05,1,4939670,1,2739379,96,1072164453,67304
2023-05-08 12:05:02,0.03,0.08,0.06,1,4941073,1,2740525,95,1072251045,67304
2023-05-08 12:10:01,0.11,0.08,0.06,1,4942199,1,2741541,97,1072338216,67304
2023-05-08 12:15:01,0.02,0.04,0.05,0,4943070,0,2742457,98,1072425776,67304
2023-05-08 12:20:01,0.01,0.03,0.05,0,4944396,0,2743396,98,1072512821,67304
2023-05-08 12:25:01,0.10,0.04,0.05,0,4945263,0,2744281,98,1072600402,67304
2023-05-08 12:30:02,0.04,0.05,0.05,0,4946058,0,2745157,98,1072688025,67304
2023-05-08 12:35:02,0.03,0.05,0.05,0,4947128,0,2746089,98,1072775136,67304
2023-05-08 12:40:02,0.07,0.04,0.05,0,4947897,0,2746968,98,1072862801,67304
2023-05-08 12:45:02,0.02,0.06,0.05,0,4948953,0,2747833,98,1072950181,67304
2023-05-08 12:50:01,0.12,0.10,0.06,0,4950019,1,2748771,97,1073037450,67304
2023-05-08 12:55:01,0.01,0.06,0.05,1,4950788,1,2749633,97,1073125205,67304
2023-05-08 13:00:02,0.06,0.06,0.05,1,4951552,0,2750498,97,1073212945,67304
2023-05-08 13:05:02,0.02,0.04,0.05,0,4952636,0,2751419,98,1073300276,67304
2023-05-08 13:10:02,0.00,0.04,0.05,0,4953887,0,2752329,98,1073387397,67304
2023-05-08 13:15:02,0.19,0.08,0.06,0,4954680,0,2753207,98,1073475063,67304
2023-05-08 13:20:02,0.24,0.13,0.08,0,4955497,1,2754173,97,1073562569,67304
2023-05-08 13:25:01,0.16,0.11,0.07,0,4956320,1,2755041,97,1073650225,67304
2023-05-08 13:30:01,0.00,0.04,0.05,1,4957926,1,2756027,97,1073736877,67304
2023-05-08 13:35:02,0.05,0.04,0.05,0,4958711,0,2756839,98,1073824624,67304
2023-05-08 13:40:02,0.00,0.01,0.05,0,4960013,0,2757728,98,1073911752,67304
2023-05-08 13:45:02,0.00,0.03,0.05,1,4960988,0,2758658,97,1073999160,67304
2023-05-08 13:50:01,0.02,0.05,0.05,0,4963475,0,2759798,98,1074084774,67304
2023-05-08 13:55:01,0.06,0.12,0.07,1,4964806,0,2760734,97,1074171833,67304
2023-05-08 14:00:01,0.01,0.07,0.06,2,4966487,1,2761665,95,1074258527,67304
2023-05-08 14:05:01,0.02,0.04,0.05,1,4968218,1,2762733,97,1074344992,67304
2023-05-08 14:10:02,0.15,0.09,0.07,1,4969676,1,2763721,97,1074431802,67304
2023-05-08 14:15:02,0.03,0.10,0.08,0,4970899,0,2764619,98,1074518975,67304
2023-05-08 14:20:01,0.00,0.04,0.05,3,4972214,1,2765491,95,1074606093,67304
2023-05-08 14:25:01,0.03,0.07,0.05,0,4973332,0,2766332,99,1074693476,67304
2023-05-08 14:30:02,0.03,0.05,0.05,1,4974668,1,2767398,96,1074780321,67304
2023-05-08 14:35:02,0.09,0.07,0.05,1,4975678,0,2768206,97,1074867860,67304
2023-05-08 14:40:02,0.21,0.07,0.06,2,4977214,0,2769120,96,1074954710,67304
2023-05-08 14:45:01,0.01,0.05,0.05,1,4978344,1,2770087,97,1075041897,67304
2023-05-08 14:50:02,0.17,0.08,0.06,0,4979208,0,2770899,98,1075129544,67304
2023-05-08 14:55:02,0.04,0.08,0.06,0,4979977,0,2771757,98,1075217248,67304
2023-05-08 15:00:02,0.06,0.05,0.05,0,4980753,0,2772597,98,1075305022,67304
2023-05-08 15:05:01,0.05,0.05,0.05,0,4981524,0,2773453,98,1075392726,67304
2023-05-08 15:10:01,0.01,0.05,0.05,1,4982517,0,2774371,97,1075480109,67304
2023-05-08 15:15:01,0.05,0.04,0.05,0,4983349,0,2775331,98,1075567604,67304
2023-05-08 15:20:02,0.14,0.06,0.06,1,4984146,1,2776263,97,1075655189,67304
2023-05-08 15:25:02,0.00,0.03,0.05,0,4984970,1,2777180,97,1075742773,67304
2023-05-08 15:30:02,0.00,0.03,0.05,0,4985742,1,2778090,97,1075830346,67304
2023-05-08 15:35:01,0.01,0.03,0.05,1,4986548,0,2778903,97,1075918037,67304
2023-05-08 15:40:01,0.04,0.06,0.05,0,4987550,0,2779750,99,1076005492,67304
2023-05-08 15:45:02,0.04,0.04,0.05,0,4988408,0,2780705,98,1076092996,67304
2023-05-08 15:50:02,0.10,0.10,0.07,0,4989272,0,2781722,98,1076180431,67304
2023-05-08 15:55:02,0.06,0.08,0.06,0,4990333,0,2782793,98,1076267492,67304
2023-05-08 16:00:02,0.01,0.06,0.05,0,4991327,0,2783909,98,1076354513,67304
2023-05-08 16:05:02,0.09,0.09,0.06,0,4992440,0,2784957,98,1076441548,67304
2023-05-08 16:10:01,0.01,0.05,0.05,0,4993445,1,2785968,97,1076528776,67304
2023-05-08 16:15:01,0.16,0.07,0.06,2,4994858,1,2787014,95,1076615663,67304
2023-05-08 16:20:02,0.02,0.06,0.05,1,4996215,1,2788016,96,1076702489,67304
2023-05-08 16:25:02,0.00,0.02,0.05,0,4996997,1,2788845,97,1076790212,67304
2023-05-08 16:30:02,0.09,0.07,0.06,1,4998998,1,2789980,96,1076876281,67305
2023-05-08 16:35:02,0.22,0.09,0.06,1,4999826,1,2790844,97,1076963891,67305
2023-05-08 16:40:01,0.15,0.10,0.06,2,5000992,1,2791806,95,1077051031,67305
2023-05-08 16:45:01,0.01,0.07,0.06,1,5002615,0,2793003,97,1077137291,67305
2023-05-08 16:50:02,0.02,0.07,0.06,1,5003746,0,2793974,97,1077224477,67305
2023-05-08 16:55:02,0.00,0.04,0.05,0,5004671,0,2795013,98,1077311787,67305
2023-05-08 17:00:02,0.06,0.04,0.05,4,5006357,1,2796064,93,1077398287,67305
2023-05-08 17:05:01,0.02,0.04,0.05,1,5007691,1,2797076,97,1077485162,67305
2023-05-08 17:10:01,0.12,0.10,0.07,0,5008928,0,2797981,99,1077570853,67305
2023-05-08 17:15:02,0.02,0.05,0.05,1,5009969,0,2798924,97,1077659657,67305
2023-05-08 17:20:02,0.22,0.13,0.08,0,5011063,0,2799814,98,1077746959,67305
2023-05-08 17:25:01,0.04,0.07,0.06,0,5011986,0,2800718,98,1077832991,67305
2023-05-08 17:30:01,0.16,0.08,0.06,0,5012782,1,2801557,97,1077920668,67305
2023-05-08 17:35:01,0.01,0.06,0.05,0,5013624,1,2802390,98,1078008312,67305
2023-05-08 17:40:02,0.04,0.05,0.05,4,5015736,2,2803531,93,1078095732,67305
2023-05-08 17:45:02,0.03,0.04,0.05,2,5017032,1,2804421,95,1078181375,67305
2023-05-08 17:50:01,0.07,0.04,0.05,1,5018869,1,2805282,97,1078267989,67305
2023-05-08 17:55:02,0.01,0.05,0.05,0,5019613,0,2806096,98,1078357244,67305
2023-05-08 18:00:02,0.20,0.08,0.06,4,5020970,1,2807007,93,1078442779,67305
2023-05-08 18:05:02,0.02,0.06,0.05,0,5021979,0,2807810,98,1078530218,67305
2023-05-08 18:10:02,1.04,0.35,0.15,37,5030255,1,2808816,61,1078610222,67305
2023-05-08 18:15:01,0.06,0.14,0.12,0,5031384,0,2809730,98,1078697469,67305
