datetime,1m,5m,15m,put,rut,pst,rst,pit,rit,rnt
2023-05-14 00:00:02,0.00,0.01,0.05,0,6175626,0,3741296,99,1211596622,69743
2023-05-14 00:05:02,0.01,0.02,0.05,0,6176154,0,3741864,99,1211685082,69743
2023-05-14 00:10:02,0.00,0.01,0.05,0,6176942,0,3742404,99,1211773306,69743
2023-05-14 00:15:02,0.00,0.01,0.05,0,6177459,0,3742988,99,1211861625,69743
2023-05-14 00:20:01,0.00,0.02,0.05,0,6177934,0,3743494,99,1211950229,69743
2023-05-14 00:25:02,0.00,0.02,0.05,1,6178466,0,3744027,97,1212038690,69743
2023-05-14 00:30:02,0.02,0.03,0.05,0,6178983,1,3744543,98,1212127226,69743
2023-05-14 00:35:01,0.14,0.05,0.05,0,6179467,0,3745067,98,1212215759,69743
2023-05-14 00:40:02,0.01,0.05,0.05,0,6179869,0,3745476,98,1212304576,69743
2023-05-14 00:45:01,0.00,0.02,0.05,0,6180338,0,3745946,99,1212393200,69743
2023-05-14 00:50:02,0.01,0.02,0.05,0,6180804,0,3746434,98,1212481821,69743
2023-05-14 00:55:02,0.12,0.06,0.05,0,6181409,0,3747102,98,1212570008,69743
2023-05-14 01:00:01,0.05,0.05,0.05,0,6181881,0,3747589,98,1212658642,69743
2023-05-14 01:05:01,0.15,0.07,0.06,0,6182549,0,3748150,98,1212746983,69743
2023-05-14 01:10:02,0.00,0.03,0.05,0,6182955,0,3748552,99,1212835821,69743
2023-05-14 01:15:02,0.00,0.02,0.05,0,6183460,0,3749069,99,1212924371,69743
2023-05-14 01:20:01,0.00,0.01,0.05,0,6183926,0,3749537,99,1213013056,69743
2023-05-14 01:25:01,0.01,0.04,0.05,0,6184431,0,3750041,99,1213101613,69743
2023-05-14 01:30:02,0.02,0.05,0.05,0,6184898,0,3750497,99,1213190286,69743
2023-05-14 01:35:02,0.00,0.03,0.05,0,6185413,0,3751013,99,1213278818,69743
2023-05-14 01:40:02,0.24,0.09,0.07,0,6185897,0,3751475,99,1213367467,69743
2023-05-14 01:45:02,0.01,0.06,0.06,0,6186398,0,3751968,99,1213456033,69743
2023-05-14 01:50:01,0.04,0.04,0.05,0,6186833,0,3752412,99,1213544684,69743
2023-05-14 01:55:01,0.01,0.03,0.05,0,6187393,0,3753050,97,1213633035,69743
2023-05-14 02:00:02,0.00,0.01,0.05,0,6187888,1,3753524,97,1213721684,69743
2023-05-14 02:05:02,0.17,0.08,0.06,0,6188367,0,3754012,98,1213810257,69743
2023-05-14 02:10:02,0.02,0.05,0.05,0,6188922,0,3754400,99,1213898975,69743
2023-05-14 02:15:01,0.02,0.04,0.05,0,6189375,0,3754861,99,1213987610,69743
2023-05-14 02:20:02,0.25,0.10,0.07,0,6189879,0,3755372,98,1214076230,69743
2023-05-14 02:25:02,0.00,0.05,0.05,0,6190371,0,3755864,98,1214164773,69744
2023-05-14 02:30:01,0.05,0.03,0.05,0,6190819,0,3756293,98,1214252073,69744
2023-05-14 02:35:01,0.00,0.04,0.05,0,6191277,0,3756759,99,1214340761,69744
2023-05-14 02:40:02,0.00,0.01,0.05,0,6191704,0,3757179,99,1214430959,69744
2023-05-14 02:45:01,0.00,0.01,0.05,0,6192223,0,3757701,99,1214518073,69744
2023-05-14 02:50:02,0.01,0.03,0.05,0,6192689,0,3758175,99,1214608151,69744
