datetime,1m,5m,15m,put,rut,pst,rst,pit,rit,rnt
2023-05-12 00:00:01,0.00,0.03,0.05,0,5840955,0,3445077,98,1160662634,68901
2023-05-12 00:05:01,0.06,0.03,0.05,0,5841490,0,3445604,98,1160751085,68901
2023-05-12 00:10:02,0.00,0.01,0.05,0,5842020,0,3446010,99,1160839762,68901
2023-05-12 00:15:02,0.00,0.01,0.05,0,5842456,0,3446454,99,1160928463,68901
2023-05-12 00:20:02,0.00,0.03,0.05,1,5843068,0,3446886,97,1161018406,68901
2023-05-12 00:25:02,0.00,0.01,0.05,0,5843582,0,3447395,98,1161105521,68901
2023-05-12 00:30:01,0.00,0.01,0.05,0,5844032,0,3447866,98,1161194200,68901
2023-05-12 00:35:02,0.00,0.02,0.05,0,5844560,0,3448404,98,1161282701,68901
2023-05-12 00:40:01,0.03,0.04,0.05,0,5844947,0,3448748,99,1161371637,68901
2023-05-12 00:45:02,0.00,0.03,0.05,0,5845466,0,3449263,99,1161460114,68901
2023-05-12 00:50:02,0.00,0.01,0.05,0,5845925,0,3449700,99,1161548833,68901
2023-05-12 00:55:01,0.01,0.04,0.05,0,5846507,0,3450220,99,1161637288,68901
2023-05-12 01:00:02,0.01,0.02,0.05,0,5846948,0,3450683,99,1161726049,68901
2023-05-12 01:05:01,0.13,0.04,0.05,0,5847480,0,3451235,99,1161814490,68901
2023-05-12 01:10:02,0.18,0.09,0.06,0,5847938,0,3451705,99,1161903158,68901
2023-05-12 01:15:02,0.00,0.03,0.05,0,5848585,0,3452302,99,1161991419,68901
2023-05-12 01:20:01,0.01,0.02,0.05,0,5849027,0,3452795,99,1162080061,68901
2023-05-12 01:25:02,0.05,0.04,0.05,0,5849536,0,3453315,98,1162168627,68901
2023-05-12 01:30:02,0.00,0.01,0.05,0,5849974,0,3453751,98,1162257366,68901
2023-05-12 01:35:01,0.00,0.03,0.05,0,5850439,0,3454257,98,1162345948,68901
2023-05-12 01:40:02,0.03,0.04,0.05,0,5850804,0,3454585,99,1162434886,68901
2023-05-12 01:45:01,0.00,0.03,0.05,0,5851310,0,3455118,98,1162523374,68901
2023-05-12 01:50:02,0.03,0.03,0.05,0,5851749,0,3455570,99,1162612082,68901
2023-05-12 01:55:01,0.01,0.02,0.05,0,5852295,0,3456143,98,1162700519,68901
2023-05-12 02:00:02,0.00,0.01,0.05,0,5852757,0,3456618,98,1162789202,68901
2023-05-12 02:05:02,0.03,0.03,0.05,1,5853432,0,3457148,97,1162877581,68901
2023-05-12 02:10:01,0.00,0.01,0.05,0,5853832,0,3457539,99,1162966420,68901
2023-05-12 02:15:02,0.00,0.02,0.05,0,5854312,0,3458037,99,1163055013,68901
2023-05-12 02:20:02,0.00,0.01,0.05,0,5854765,0,3458523,99,1163143698,68901
2023-05-12 02:25:02,0.09,0.05,0.05,0,5855296,0,3459082,99,1163232151,68901
2023-05-12 02:30:01,0.00,0.02,0.05,2,5856170,0,3459631,96,1163320272,68901
2023-05-12 02:35:02,0.00,0.01,0.05,0,5856715,0,3460223,99,1163408665,68901
2023-05-12 02:40:02,0.00,0.01,0.05,0,5857158,0,3460696,99,1163497324,68901
2023-05-12 02:45:02,0.08,0.04,0.05,0,5857753,0,3461385,98,1163585500,68901
2023-05-12 02:50:01,0.00,0.01,0.05,0,5858204,0,3461882,98,1163674126,68901
2023-05-12 02:55:01,0.11,0.07,0.06,0,5858748,1,3462492,98,1163762496,68901
2023-05-12 03:00:02,0.11,0.11,0.06,0,5859217,0,3462984,98,1163851114,68901
2023-05-12 03:05:02,0.00,0.04,0.05,0,5859732,0,3463500,98,1163939651,68901
2023-05-12 03:10:02,0.00,0.04,0.05,0,5860251,0,3463869,99,1164028409,68901
2023-05-12 03:15:02,0.06,0.05,0.05,0,5860703,0,3464356,99,1164117047,68901
2023-05-12 03:20:02,0.00,0.03,0.05,0,5861158,0,3464808,98,1164205723,68917
2023-05-12 03:25:02,0.00,0.01,0.05,0,5861649,0,3465318,98,1164294286,68917
2023-05-12 03:30:02,0.00,0.01,0.05,0,5862110,0,3465777,98,1164383021,68917
