datetime,1m,5m,15m,put,rut,pst,rst,pit,rit,rnt
2023-05-13 00:00:02,0.00,0.04,0.05,0,6020754,0,3595182,99,1186107990,69309
2023-05-13 00:05:01,0.00,0.02,0.05,0,6021295,0,3595757,99,1186196383,69309
2023-05-13 00:10:02,0.03,0.03,0.05,1,6021928,0,3596298,98,1186284768,69309
2023-05-13 00:15:02,0.02,0.03,0.05,0,6022472,0,3596839,99,1186373291,69309
2023-05-13 00:20:02,0.01,0.03,0.05,0,6022964,0,3597317,99,1186461905,69309
2023-05-13 00:25:02,0.03,0.05,0.05,0,6023488,0,3597857,99,1186550398,69309
2023-05-13 00:30:01,0.06,0.05,0.05,0,6023953,0,3598316,99,1186639075,69309
2023-05-13 00:35:01,0.01,0.03,0.05,0,6024474,0,3598852,98,1186727573,69309
2023-05-13 00:40:02,0.00,0.02,0.05,0,6024965,0,3599379,98,1186816149,69309
2023-05-13 00:45:01,0.06,0.04,0.05,0,6025497,0,3599929,98,1186904609,69309
2023-05-13 00:50:02,0.01,0.03,0.05,0,6025942,0,3600378,98,1186993274,69309
2023-05-13 00:55:02,0.06,0.03,0.05,0,6026422,0,3600858,98,1187081901,69309
2023-05-13 01:00:02,0.00,0.01,0.05,0,6026873,0,3601316,98,1187170603,69309
2023-05-13 01:05:02,0.00,0.01,0.05,0,6027315,0,3601744,99,1187259306,69309
2023-05-13 01:10:02,0.08,0.04,0.05,0,6027762,0,3602194,99,1187348014,69309
2023-05-13 01:15:01,0.10,0.06,0.05,0,6028425,0,3602771,99,1187436336,69309
2023-05-13 01:20:02,0.07,0.05,0.05,0,6028924,0,3603240,99,1187524971,69309
2023-05-13 01:25:02,0.01,0.03,0.05,0,6029455,0,3603759,99,1187613481,69309
2023-05-13 01:30:02,0.02,0.04,0.05,0,6029955,0,3604245,99,1187702088,69309
2023-05-13 01:35:01,0.13,0.04,0.05,0,6030480,0,3604779,99,1187790584,69309
2023-05-13 01:40:02,0.09,0.05,0.05,0,6030970,0,3605272,99,1187879187,69309
2023-05-13 01:45:01,0.05,0.07,0.05,0,6031469,0,3605796,99,1187967739,69309
2023-05-13 01:50:02,0.00,0.03,0.05,0,6031997,0,3606363,99,1188056176,69309
2023-05-13 01:55:02,0.09,0.04,0.05,0,6032526,0,3606891,99,1188144650,69309
2023-05-13 02:00:01,0.00,0.02,0.05,0,6033007,0,3607386,98,1188233269,69309
2023-05-13 02:05:01,0.00,0.01,0.05,0,6033548,0,3607913,98,1188321835,69309
2023-05-13 02:10:02,0.00,0.01,0.05,1,6034201,1,3608437,97,1188410268,69309
2023-05-13 02:15:01,0.00,0.02,0.05,0,6034692,0,3608945,98,1188498842,69309
2023-05-13 02:20:02,0.00,0.01,0.05,0,6035115,0,3609383,98,1188587579,69309
2023-05-13 02:25:01,0.00,0.01,0.05,0,6035635,0,3609903,98,1188676082,69309
2023-05-13 02:30:02,0.03,0.04,0.05,0,6036073,0,3610351,98,1188764828,69309
2023-05-13 02:35:02,0.00,0.01,0.05,0,6036511,0,3610783,99,1188853574,69309
2023-05-13 02:40:02,0.10,0.04,0.05,0,6036985,0,3611235,99,1188942244,69309
2023-05-13 02:45:02,0.00,0.03,0.05,0,6037505,0,3611797,99,1189030701,69309
2023-05-13 02:50:02,0.00,0.01,0.05,0,6038065,0,3612370,99,1189119111,69309
2023-05-13 02:55:01,0.03,0.03,0.05,0,6038562,0,3612890,99,1189207622,69309
2023-05-13 03:00:02,0.00,0.01,0.05,0,6039027,0,3613388,99,1189296322,69309
2023-05-13 03:05:02,0.00,0.01,0.05,0,6039543,0,3613913,99,1189384839,69309
2023-05-13 03:10:01,0.00,0.01,0.05,0,6040027,0,3614380,99,1189471986,69321
2023-05-13 03:15:02,0.06,0.04,0.05,0,6040710,0,3614966,99,1189561713,69321
2023-05-13 03:20:01,0.01,0.03,0.05,0,6041174,0,3615437,99,1189648908,69321
2023-05-13 03:25:02,0.00,0.01,0.05,0,6041667,0,3615979,98,1189737409,69321
2023-05-13 03:30:02,0.05,0.03,0.05,0,6042139,0,3616478,98,1189827460,69321
2023-05-13 03:35:02,0.00,0.01,0.05,0,6042685,0,3617038,98,1189914482,69321
2023-05-13 03:40:01,0.07,0.04,0.05,0,6043086,0,3617434,98,1190003322,69321
2023-05-13 03:45:01,0.01,0.03,0.05,0,6043556,0,3617904,98,1190091963,69321
2023-05-13 03:50:02,0.00,0.02,0.05,0,6044076,1,3618462,97,1190180422,69321
