datetime,in,out
2023-05-12 09:20:05,4824513,573987
2023-05-12 09:25:05,4824513,573987
2023-05-12 09:30:05,4824513,573987
2023-05-12 09:35:04,4824513,574053
2023-05-12 09:40:05,4824513,574053
2023-05-12 09:45:04,4824513,574053
2023-05-12 09:50:06,4825221,575021
2023-05-12 09:55:04,4825221,575021
2023-05-12 10:00:05,4826469,576715
2023-05-12 10:05:05,4827177,577543
2023-05-12 10:10:05,4827843,578395
2023-05-12 10:15:04,4827843,578395
2023-05-12 10:20:06,4827843,578395
2023-05-12 10:25:04,4827843,578461
2023-05-12 10:30:05,4827843,578461
2023-05-12 10:35:04,9194846,591307
2023-05-12 10:40:05,9294269,683093
2023-05-12 10:45:04,9294269,683167
2023-05-12 10:50:06,9294269,683167
2023-05-12 10:55:04,9295517,684721
2023-05-12 11:00:05,9295517,684721
2023-05-12 11:05:05,9295517,684721
2023-05-12 11:10:05,9295517,684721
2023-05-12 11:15:04,9295517,684721
2023-05-12 11:20:05,9295865,685201
2023-05-12 11:25:04,9295865,685201
2023-05-12 11:30:05,9295865,685201
2023-05-12 11:35:04,9295865,685201
2023-05-12 11:40:05,9295865,685201
2023-05-12 11:45:04,9295865,685333
2023-05-12 11:50:05,9296573,686425
2023-05-12 11:55:04,9297239,687417
2023-05-12 12:00:05,9297239,687417
2023-05-12 12:05:04,9297239,687483
2023-05-12 12:10:06,9297239,687483
2023-05-12 12:15:04,13522603,859391
2023-05-12 12:20:05,13522603,859391
2023-05-12 12:25:04,13522603,859391
2023-05-12 12:30:05,13522603,859457
2023-05-12 12:35:05,13522603,859457
2023-05-12 12:40:05,13522819,859739
2023-05-12 12:45:05,13522819,859739
2023-05-12 12:50:05,13522819,859739
2023-05-12 12:55:05,13522819,859739
2023-05-12 13:00:05,13522819,859739
2023-05-12 13:05:05,13522819,859739
2023-05-12 13:10:06,13522819,859805
2023-05-12 13:15:04,13522819,859805
2023-05-12 13:20:06,13524199,861557
2023-05-12 13:25:04,13524199,861557
2023-05-12 13:30:05,13524199,861623
2023-05-12 13:35:04,13524865,862409
2023-05-12 13:40:05,13524865,862409
2023-05-12 13:45:05,13524865,862409
2023-05-12 13:50:05,13524865,862607
2023-05-12 13:55:04,13524865,862607
2023-05-12 14:00:06,13525027,862871
2023-05-12 14:05:04,13525573,863501
2023-05-12 14:10:05,13525573,863501
2023-05-12 14:15:05,13525921,863849
2023-05-12 14:20:05,13525921,863915
2023-05-12 14:25:04,13525921,863915
2023-05-12 14:30:05,13525921,863915
2023-05-12 14:35:04,13525921,863915
2023-05-12 14:40:05,13526137,864131
2023-05-12 14:45:04,13526137,864131
2023-05-12 14:50:05,13526137,864205
2023-05-12 14:55:04,13526137,864271
2023-05-12 15:00:05,13526137,864271
2023-05-12 15:05:04,13526137,864271
2023-05-12 15:10:05,13526137,864271
2023-05-12 15:15:04,13526137,864271
2023-05-12 15:20:05,13526353,864553
2023-05-12 15:25:05,13526353,864553
2023-05-12 15:30:05,13526353,864553
2023-05-12 15:35:05,13526353,864553
2023-05-12 15:40:05,13526353,864553
2023-05-12 15:45:04,13526353,864553
2023-05-12 15:50:06,13526353,864891
2023-05-12 15:55:04,13526353,864891
2023-05-12 16:00:06,13526353,864891
2023-05-12 16:05:04,13526353,864891
2023-05-12 16:10:05,13526353,864891
2023-05-12 16:15:04,13526659,865197
2023-05-12 16:20:05,13526659,865197
2023-05-12 16:25:04,13526659,865197
2023-05-12 16:30:05,13526659,865197
2023-05-12 16:35:05,13526659,865197
2023-05-12 16:40:05,13526875,865413
2023-05-12 16:45:04,13526875,865413
2023-05-12 16:50:05,13526875,865413
2023-05-12 16:55:04,13526875,865413
2023-05-12 17:00:06,13526875,865413
2023-05-12 17:05:04,13526875,865413
2023-05-12 17:10:06,13526875,865413
2023-05-12 17:15:04,13526875,865413
2023-05-12 17:20:06,13526983,865587
2023-05-12 17:25:04,13526983,865587
2023-05-12 17:30:06,13526983,865587
2023-05-12 17:35:04,13526983,865587
2023-05-12 17:40:05,13526983,865587
2023-05-12 17:45:04,13526983,865587
2023-05-12 17:50:05,13526983,865719
2023-05-12 17:55:04,13526983,865719
2023-05-12 18:00:06,13526983,865719
2023-05-12 18:05:04,13526983,865719
2023-05-12 18:10:05,13526983,865719
2023-05-12 18:15:04,13527331,866067
2023-05-12 18:20:05,13527331,866067
2023-05-12 18:25:04,13527331,866067
2023-05-12 18:30:05,13527331,866067
2023-05-12 18:35:04,13527331,866067
2023-05-12 18:40:05,13527439,866175
2023-05-12 18:45:04,13527439,866175
2023-05-12 18:50:05,13527439,866175
2023-05-12 18:55:04,13527439,866175
2023-05-12 19:00:06,13527439,866175
2023-05-12 19:05:04,13527439,866175
2023-05-12 19:10:06,13527439,866175
2023-05-12 19:15:04,13527439,866175
2023-05-12 19:20:05,13527589,866313
2023-05-12 19:25:05,13527589,866313
2023-05-12 19:30:05,13527589,866313
2023-05-12 19:35:05,13527589,866313
2023-05-12 19:40:05,13527589,866313
2023-05-12 19:45:04,13527589,866313
2023-05-12 19:50:06,13527589,866313
2023-05-12 19:55:04,13527589,866313
2023-05-12 20:00:06,13527589,866313
2023-05-12 20:05:04,13527589,866445
2023-05-12 20:10:06,13527589,866445
2023-05-12 20:15:05,13527763,866619
2023-05-12 20:20:05,13527763,866685
2023-05-12 20:25:05,13527763,866685
2023-05-12 20:30:05,13527763,866685
2023-05-12 20:35:04,13527763,866685
2023-05-12 20:40:06,13527913,866823
2023-05-12 20:45:04,13527913,866823
2023-05-12 20:50:06,13527913,866823
2023-05-12 20:55:05,13527913,866823
2023-05-12 21:00:05,13527913,866823
2023-05-12 21:05:04,13527913,866823
2023-05-12 21:10:06,13527913,866823
2023-05-12 21:15:04,13527913,866823
2023-05-12 21:20:06,13527913,866823
2023-05-12 21:25:04,13527913,866823
2023-05-12 21:30:05,13527913,866823
2023-05-12 21:35:04,13527913,866823
2023-05-12 21:40:06,13527913,866823
2023-05-12 21:45:05,13527913,866823
2023-05-12 21:50:05,13527913,866823
2023-05-12 21:55:05,13527913,866823
2023-05-12 22:00:05,13527913,866823
2023-05-12 22:05:04,13527913,866823
2023-05-12 22:10:05,13527913,866823
2023-05-12 22:15:04,13528129,867015
2023-05-12 22:20:05,13528129,867015
2023-05-12 22:25:04,13528129,867015
2023-05-12 22:30:06,13528129,867015
2023-05-12 22:35:05,13528129,867015
2023-05-12 22:40:05,13528129,867015
2023-05-12 22:45:04,13528129,867015
2023-05-12 22:50:05,13528129,867015
2023-05-12 22:55:05,13528129,867015
2023-05-12 23:00:05,13528129,867015
2023-05-12 23:05:04,13528129,867015
2023-05-12 23:10:06,13528129,867015
2023-05-12 23:15:05,13528129,867015
2023-05-12 23:20:05,13528129,867015
2023-05-12 23:25:04,13528129,867015
2023-05-12 23:30:05,13528129,867015
