datetime,in,out
2023-05-13 00:00:05,96343,16366
2023-05-13 00:05:04,96343,16366
2023-05-13 00:10:05,96343,16366
2023-05-13 00:15:04,96343,16366
2023-05-13 00:20:05,96343,16366
2023-05-13 00:25:04,96343,16366
2023-05-13 00:30:04,96343,16366
2023-05-13 00:35:04,96343,16366
2023-05-13 00:40:05,96343,16366
2023-05-13 00:45:04,96343,16366
2023-05-13 00:50:05,96343,16366
2023-05-13 00:55:05,96343,16366
2023-05-13 01:00:05,96343,16366
2023-05-13 01:05:04,96343,16366
2023-05-13 01:10:05,96343,16366
2023-05-13 01:15:04,96343,16366
2023-05-13 01:20:05,96343,16366
2023-05-13 01:25:04,96343,16366
2023-05-13 01:30:04,96343,16366
2023-05-13 01:35:04,96343,16366
2023-05-13 01:40:05,96343,16366
2023-05-13 01:45:04,96343,16366
2023-05-13 01:50:05,96343,16366
2023-05-13 01:55:04,96343,16366
2023-05-13 02:00:04,96343,16366
2023-05-13 02:05:04,96343,16366
2023-05-13 02:10:05,96343,16366
2023-05-13 02:15:04,96343,16366
2023-05-13 02:20:05,96343,16366
2023-05-13 02:25:04,96343,16366
2023-05-13 02:30:05,96343,16366
2023-05-13 02:35:04,96343,16366
2023-05-13 02:40:05,96343,16366
2023-05-13 02:45:04,96343,16366
2023-05-13 02:50:05,96343,16366
2023-05-13 02:55:04,96343,16366
2023-05-13 03:00:05,96343,16366
2023-05-13 03:05:04,96343,16366
2023-05-13 03:10:04,96343,16366
2023-05-13 03:15:04,96343,16366
2023-05-13 03:20:04,96343,16366
2023-05-13 03:25:04,96343,16366
2023-05-13 03:30:05,96343,16366
2023-05-13 03:35:04,96343,16366
2023-05-13 03:40:04,96343,16366
2023-05-13 03:45:04,96343,16366
2023-05-13 03:50:05,96343,16366
2023-05-13 03:55:04,96343,16366
2023-05-13 04:00:05,96343,16366
2023-05-13 04:05:04,96343,16366
2023-05-13 04:10:05,96343,16366
2023-05-13 04:15:04,96343,16366
2023-05-13 04:20:05,96343,16366
2023-05-13 04:25:04,96343,16366
2023-05-13 04:30:05,96343,16366
2023-05-13 04:35:04,96343,16366
2023-05-13 04:40:05,96343,16366
2023-05-13 04:45:04,96343,16366
2023-05-13 04:50:04,96343,16366
2023-05-13 04:55:05,96343,16366
2023-05-13 05:00:05,96343,16366
