datetime,Physical memory,Virtual memory,Memory buffers,Cached memory,Shared memory,Swap space,/,/dev/shm,/run,/sys/fs/cgroup,/boot,/run/user/42,/run/user/1035,/run/media/admin/CentOS 7 x86_64,/run/user/1028
2023-05-09 22:10:02,3745892,4405384,56,1340464,230368,659492,14618282,0,57669,0,50651,1,7,4245165,0
2023-05-09 22:15:02,3672388,4333956,56,1283464,228584,661568,14618277,0,57655,0,50651,1,7,4245165,
2023-05-09 22:20:02,3681040,4342608,56,1292064,236776,661568,14618337,0,59703,0,50651,1,7,4245165,
2023-05-09 22:25:01,3681820,4343388,56,1292576,236776,661568,14618279,0,59703,0,50651,1,7,4245165,
2023-05-09 22:30:02,3689980,4351548,56,1301248,244968,661568,14619403,0,61751,0,50651,1,7,4245165,
2023-05-09 22:35:02,3658384,4318220,56,1262632,205736,659836,14619440,0,51511,0,50651,1,7,4245165,
2023-05-09 22:40:02,3658620,4318456,56,1263004,205736,659836,14619403,0,51511,0,50651,1,7,4245165,
2023-05-09 22:45:01,3658136,4317972,56,1263224,205736,659836,14619722,0,51511,0,50651,1,7,4245165,
2023-05-09 22:50:02,3666248,4326084,56,1271648,213928,659836,14619761,0,53559,0,50651,1,7,4245165,
2023-05-09 22:55:01,3666444,4326276,56,1272060,213928,659832,14619726,0,53559,0,50651,1,7,4245165,
2023-05-09 23:00:02,3666692,4326524,56,1272392,213928,659832,14619742,0,53559,0,50651,1,7,4245165,
2023-05-09 23:05:01,3692968,4352792,56,1282108,222176,659824,14619727,0,55621,0,50651,1,7,4245165,0
2023-05-09 23:10:02,3676516,4336336,56,1266104,205792,659820,14619779,0,51525,0,50651,1,7,4245165,0
2023-05-09 23:15:02,3664320,4324140,56,1269632,205736,659820,14619730,0,51511,0,50651,1,7,4245165,
2023-05-09 23:20:02,3672980,4332800,56,1278200,213928,659820,14619743,0,53559,0,50651,1,7,4245165,
2023-05-09 23:25:02,3673288,4333108,56,1278420,213928,659820,14619731,0,53559,0,50651,1,7,4245165,
2023-05-09 23:30:02,3673008,4332828,56,1278680,213928,659820,14619763,0,53559,0,50651,1,7,4245165,
2023-05-09 23:35:02,3672240,4332060,56,1278964,213928,659820,14620533,0,53559,0,50651,1,7,4245165,
2023-05-09 23:40:02,3682324,4342144,56,1287996,222120,659820,14620545,0,55607,0,50651,1,7,4245165,
2023-05-09 23:45:02,3666808,4326628,56,1272028,205736,659820,14620536,0,51511,0,50651,1,7,4245165,
